Étiquettes de lignes;freqlemfilms2;nblettres;nbphons;old20;pld20
explosive;14.11;18;18;4.7;4.3
exténuant;0.97;18;16;4.9;5.5
exultant;0.62;16;14;3.5;3.3
faction;1.52;7;6;1.8;1.65
factions;1.52;8;6;1.75;1.65
fanaient;3.73;8;4;2;1
fanent;3.73;6;3;1.9;1
faner;3.73;5;4;1.6;1.05
fanfare;4.07;7;5;2.8;1.9
fanfares;4.07;8;5;2.8;1.9
fascinante;11.64;10;7;2.55;2.25
fascinantes;11.64;11;7;2.75;2.25
fascinants;11.64;10;6;2.5;1.65
feignante;2.49;18;10;3.7;3.7
feignants;2.49;18;8;3.7;2.5
fêlé;3.48;12;12;4.65;3.45
fêlée;3.48;15;12;4.95;3.45
fêlées;3.48;18;12;5.25;3.9
fêlés;3.48;15;12;4.95;3.9
félicitations;60.08;13;11;3.15;2.95
féminité;1.87;8;8;2.4;2.45
fervent;2.13;7;5;1.8;1.8
fervente;2.13;8;6;2.1;1.85
ferventes;2.13;9;6;2.4;1.85
fervents;2.13;8;5;2.05;1.8
festin;4.5;6;5;1.8;1.95
festins;4.5;7;5;1.85;1.95
festival;7.65;8;8;2.6;2.8
festivals;7.65;9;8;2.8;2.8
fétiche;1.48;7;5;2.2;1.95
fétiches;1.48;8;5;2.35;1.95
fi;4.92;2;2;1;1
fiacre;1.39;6;5;1.9;1.95
fiança;13.3;6;5;2.3;1.8
fiance;13.3;6;4;1.75;1.55
fiancer;13.3;7;5;1.85;1.75
fiancèrent;13.3;10;6;2.6;1.95
fiction;6.46;7;6;1.75;1.55
fictions;6.46;8;6;1.75;1.55
figurante;2.99;9;7;2.45;2.2
figurantes;2.99;10;7;2.6;2.2
figurants;2.99;9;6;2.35;1.7
filiale;1.96;14;12;4.2;3.9
filiales;1.96;16;12;4.9;3.9
fiole;1.93;5;4;1.8;1.75
fioles;1.93;6;4;1.8;1.75
fixité;0.14;6;7;2.05;2.45
flair;2.32;5;4;1.75;1
flamand;2.16;14;10;4.8;3
flamande;2.16;16;12;4.7;4.1
flamandes;2.16;18;12;5;4.1
flamands;2.16;16;10;5;3
flamboyante;1.07;11;9;2.75;2.85
flamboyantes;1.07;12;9;3.15;2.85
flamboyants;1.07;11;8;2.75;2.2
flash;8.52;5;4;1.65;1.1
fléau;5.1;5;4;2.1;1.8
fléaux;5.1;6;4;2.1;1.8
flétri;1.78;6;6;2.25;1.85
flétrie;1.78;7;6;2.15;1.85
flétries;1.78;8;6;2.35;1.85
flétrir;1.78;7;7;2.15;2.05
flétrira;1.78;8;8;2.5;2.45
flétris;1.78;7;6;2.2;1.85
flétrissait;1.78;11;8;2.6;2.2
flétrissent;1.78;11;7;2.55;2
flétrit;1.78;7;6;2.2;1.85
flippé;14.72;18;15;5.85;4.95
flippée;14.72;21;15;6.45;4.95
flipper;16.22;14;10;3.6;3.3
flippés;14.72;21;15;6.3;4.95
fluet;0.32;5;4;1.9;1.6
fluette;0.32;7;5;1.75;1.85
foot;24.18;4;3;1.8;1
forfait;2.97;14;10;3.6;3.7
forfaits;2.03;8;5;2.35;1.85
forgeron;3.76;8;7;2.3;1.75
forgerons;3.76;9;7;1.9;1.75
fossette;0.86;8;5;2.35;1.7
fossettes;0.86;9;5;2.4;1.7
fougue;1.17;6;3;1.75;1.4
fouine;8.41;12;8;3.3;3
fouines;8.41;14;8;3.4;3
fourbi;0.82;18;15;4.65;4.8
fourbis;0.82;21;15;4.5;4.8
fourbu;0.42;6;5;1.8;1.75
fourbue;0.42;7;5;1.7;1.75
fourbues;0.42;8;5;1.8;1.75
fourbus;0.42;7;5;1.75;1.75
fourguais;2.47;9;5;2.5;1.65
fourguait;2.47;9;5;2.55;1.65
fourguant;2.47;9;5;2.65;1.75
fourgué;2.47;7;5;2;1.55
fourguée;2.47;8;5;2.1;1.55
fourguées;2.47;9;5;2;1.55
fourguent;2.47;9;4;2.45;1.2
fourguer;2.47;8;5;1.85;1.55
fourgués;2.47;8;5;2;1.55
fournisseur;4.75;11;8;2.55;2.25
fournisseurs;4.75;12;8;3;2.25
fourrager;0.17;18;12;4.5;3.6
fourreau;0.79;8;4;2.1;1.25
fourreaux;0.79;9;4;2.45;1.25
framboise;2.5;9;7;2.9;2.85
framboises;2.5;10;7;3.15;2.85
fréquentation;2.81;13;10;3.5;2.85
fréquentations;2.81;14;10;3.6;2.85
frétillant;0.82;20;14;4.5;3.8
frichti;0.03;7;6;2.55;2
frileuse;1.1;16;12;3.5;3.5
frileuses;1.08;9;6;2.05;1.75
frileux;1.1;14;10;4.3;3.9
frimais;3.67;7;5;1.8;1.3
frimait;3.67;7;5;1.6;1.3
frimant;3.67;7;5;1.65;1.35
frimé;3.67;5;5;1.45;1.25
friment;3.67;7;4;1.55;1.05
frimer;3.67;6;5;1.45;1.25
frimés;3.67;6;5;1.45;1.25
frire;6.63;5;4;1.6;1.2
frit;6.63;4;3;1.3;1
frits;6.63;5;3;1.55;1
frivole;2.22;7;6;2.5;2.2
frivoles;2.22;8;6;2.55;2.2
fronton;0.1;7;5;2.15;1.8
fruste;0.51;6;5;1.85;1.9
frustes;0.51;7;5;1.95;1.9
fugace;0.85;6;5;2.45;1.9
fugaces;0.85;7;5;2.45;1.9
führer;23.86;6;5;2.75;1.7
fumeuse;4.16;14;10;3.8;3.7
fumeuses;4.16;16;10;4.1;3.7
funérailles;9.75;11;7;3.55;2.95
funéraire;1.68;9;7;2.9;2.8
funéraires;1.68;10;7;3;2.8
funeste;4.97;7;6;2.45;2.4
funestes;4.97;8;6;2.7;2.4
furie;2.58;5;4;1.75;1.35
furies;2.58;6;4;1.85;1.35
fusion;6.64;6;5;1.95;1.6
fusions;6.64;7;5;1.75;1.6
futaies;0.02;7;4;1.95;1.15
fuyard;1.19;12;12;3.6;3.9
fuyarde;1.19;14;14;4.6;5.3
fuyards;1.19;14;12;3.8;3.9
g;10.92;1;2;1;1
gadoue;0.37;6;4;2;1.65
gaffé;5.2;5;4;1.8;1.15
gaffent;5.2;7;3;1.95;1
gaffer;5.2;6;4;1.7;1.15
gain;5.6;4;2;1;1
gains;5.6;5;2;1.05;1
ganté;0.2;10;8;2.9;2.3
gantée;0.2;12;8;3.3;2.3
gantées;0.2;14;8;3.6;2.3
gantés;0.2;12;8;3.2;2.3
garagiste;1.25;9;8;2.85;2.9
gaspillait;11.5;10;7;2.45;1.85
gaspillant;11.5;10;7;2.45;1.95
gaspille;11.5;8;6;1.75;1.75
gaspillé;11.5;8;7;2.2;1.7
gaspillée;11.5;9;7;2.25;1.7
gaspillées;11.5;10;7;2.35;1.7
gaspiller;11.5;9;7;1.85;1.7
gaspilles;11.5;9;6;1.75;1.75
gaspillés;11.5;9;7;2.3;1.7
gaspillez;11.5;9;7;2.25;1.7
gaspillons;11.5;10;7;2.6;1.9
gâteux;2.37;12;8;3.8;2.7
gaze;6.32;8;6;2.4;2
geignait;0.59;8;4;1.6;1.45
geignent;0.59;8;3;1.75;1.1
geins;0.59;5;2;1.5;1
geint;0.59;5;2;1.7;1
genêt;0.25;5;4;1.8;1.3
genêts;0.25;6;4;1.95;1.3
geôlier;1.6;7;5;2.4;1.8
geôlière;1.6;8;6;2.6;1.8
geôliers;1.6;8;5;2.65;1.8
géométrie;1.06;9;8;2.9;3.05
géométrique;0.77;11;9;2.75;2.8
géométriques;0.77;12;9;2.95;2.8
gerba;8.28;5;5;1.8;1.7
gerbais;8.28;7;5;1.95;1.6
gerbait;8.28;7;5;1.8;1.6
gerbant;8.28;7;5;1.85;1.75
gerbé;8.28;5;5;1.7;1.6
gerbent;8.28;7;4;1.85;1.45
gerber;8.28;6;5;1.7;1.6
germanique;1.19;20;16;5.9;5.6
germaniques;1.19;22;16;6.4;5.6
gin;6.24;3;4;1.2;1.75
gins;6.24;4;4;1.35;1.75
givre;0.33;5;4;1.6;1.7
givres;0.33;6;4;1.6;1.7
glaçon;7.4;6;5;1.95;1.4
glaive;1.95;6;4;1.85;1.6
glaives;1.95;7;4;1.85;1.6
glanait;1.2;7;5;1.75;1.65
glanant;1.2;7;5;1.8;1.65
gland;2.95;5;3;1.55;1.1
glands;2.95;6;3;1.5;1.1
glane;1.2;10;8;2.9;3
glané;1.2;5;5;1.6;1.65
glanées;1.2;7;5;1.75;1.65
glanent;1.2;7;4;1.8;1.5
glaner;1.2;6;5;1.65;1.65
glanés;1.2;6;5;1.7;1.65
globuleux;0.27;9;7;3.2;2.7
gloussait;0.98;9;5;2.2;1.55
gloussant;0.99;18;10;4.2;3.2
glousse;0.98;7;4;1.75;1.65
gloussé;0.98;7;5;2.2;1.7
gloussent;0.98;9;4;2.05;1.65
glousser;0.98;8;5;2.05;1.7
goba;5.9;4;4;1.8;1.6
gobaient;5.9;8;4;2;1.5
gobais;5.9;6;4;1.95;1.5
gobait;5.9;6;4;1.85;1.5
gobant;5.9;6;4;1.85;1.6
gobe;5.9;4;3;1.3;1.2
gobé;5.9;4;4;1.75;1.5
gobent;5.9;6;3;1.85;1.2
gober;5.9;5;4;1.55;1.5
gobes;5.9;5;3;1.45;1.2
gommant;0.57;7;4;1.8;1.2
gommé;0.58;10;8;3.3;2.5
gommée;0.58;12;8;3.2;2.5
gommées;0.58;14;8;3.4;2.5
gommer;0.57;6;4;1.7;1.25
gommés;0.57;6;4;1.65;1.25
gondoles;1.26;8;5;2.05;2
gosier;1.2;6;5;1.8;1.7
gourde;3.64;12;8;3;2.8
gourdes;3.64;21;12;4.95;4.2
gouvernante;4.6;11;8;2.55;2.4
gouvernantes;4.6;12;8;3.05;2.4
gradin;1.06;6;5;1.7;1.6
gradins;1.06;7;5;1.7;1.6
graissait;2.48;9;5;1.9;1.3
graissé;2.78;14;10;3.6;2.8
graissée;2.78;16;10;3.6;2.8
graissées;2.78;18;10;3.8;2.8
graissent;2.48;9;4;1.9;1
graisser;2.48;8;5;1.75;1.45
graissés;2.78;16;10;3.6;2.8
graisseuse;0.82;10;6;2.55;1.9
graisseuses;0.82;11;6;2.8;1.9
graisseux;0.82;9;5;2.45;1.7
graissez;2.48;8;5;1.85;1.4
grammaire;1.73;9;6;2.8;1.8
gramme;5.81;6;4;1.85;1
grammes;5.81;7;4;1.85;1
grandissante;0.87;12;8;2.5;2.4
grandissantes;0.87;13;8;2.9;2.4
grandissants;0.87;12;7;2.4;1.6
grand-peine;0.25;11;6;3.65;1.95
gratifiant;1.75;20;16;5;4.4
greffes;4.32;14;8;3.5;2.5
grelot;0.43;6;5;2.25;2
grelots;0.43;7;5;2.25;2
grenadine;0.43;18;16;5.4;6.4
grenat;0.22;12;10;3.9;3.3
grésille;0.35;8;6;2.05;1.7
grésillent;0.35;10;6;2.45;1.7
grésiller;0.35;9;7;2.35;1.8
grillon;1.45;7;5;1.85;1.2
grippes;8.22;7;4;1.75;1
grossesse;7.09;9;6;2.6;1.95
grossesses;7.09;10;6;2.65;1.95
grouillante;0.14;11;6;2.2;1.95
grouillantes;0.14;12;6;2.65;1.95
grouillants;0.14;11;5;2.2;1.3
grue;4.76;4;3;1.6;1.2
grues;4.76;5;3;1.75;1.2
gruyère;1.02;7;6;2.6;1.9
guenille;0.41;8;5;2.5;1.8
guenilles;0.41;9;5;2.55;1.8
guérison;5.84;8;6;2.45;1.8
guérisons;5.84;9;6;2.4;1.8
guérite;0.06;7;5;1.9;1.7
guérites;0.06;8;5;2.2;1.7
guêtre;0.39;6;4;1.95;1
guêtres;0.39;7;4;2;1
guetteur;1.09;8;5;2.1;1.75
guetteurs;1.09;9;5;2.3;1.75
gueuse;2.87;6;3;1.8;1.65
gueuses;2.88;14;6;3.7;3.3
gueux;2.87;5;2;2;1
guibolles;0.11;9;5;2.75;1.95
guignol;3.29;7;5;2.5;1.75
guignols;3.29;8;5;2.65;1.75
guillotines;1.08;22;14;5.3;5.2
guitariste;2.29;10;8;3.3;2.85
guitaristes;2.29;11;8;3.55;2.85
habitation;1.77;10;8;2.6;1.95
habitations;1.77;11;8;2.55;1.95
hacha;2.18;5;3;1.65;1
hachait;2.18;7;3;1.8;1
hachant;2.18;7;3;1.7;1
hachent;2.18;7;2;1.75;1
hacher;2.18;6;3;1.5;1
hachez;2.18;6;3;1.65;1
hallucination;7.88;13;10;3.65;3.05
hallucinations;7.88;14;10;3.8;3.05
hantise;0.19;7;4;2;1.7
hantises;0.19;8;4;2.4;1.7
hareng;2.78;6;3;2.25;1
harengs;2.78;7;3;2.7;1
hargne;0.42;6;3;1.95;1.35
harpe;1.14;5;3;1.6;1.05
harpes;1.14;6;3;1.65;1.05
hâtif;2.43;5;4;1.95;1.35
hâtifs;2.43;6;4;1.95;1.35
hâtive;2.43;6;4;2.1;1.5
hâtives;2.43;7;4;2.3;1.5
hébreu;3.09;12;8;5.7;3.8
héréditaire;2.59;11;8;3.85;2.55
héréditaires;2.59;12;8;4;2.55
héroïsme;1.06;8;6;2.95;2.05
hétéroclite;0.17;11;9;4.25;3.8
hétéroclites;0.17;12;9;4.5;3.8
heurt;0.49;5;2;1.6;1.05
heurts;0.49;6;2;1.65;1.05
hi;3.81;2;1;1;1
hirsute;1.53;7;5;2.85;2.7
hirsutes;1.53;8;5;2.85;2.7
hitlérien;0.78;18;14;6.6;5.8
hitlérienne;0.78;22;16;6.9;5.9
hitlériennes;0.78;24;16;7.1;5.9
ho;20.06;2;1;1.3;1
hollandaise;4.05;22;12;6.7;4.9
homard;4.96;6;4;1.95;1.75
homards;4.96;7;4;1.95;1.75
hongroise;2.87;18;12;6.6;5.5
hongroises;2.87;20;12;7.1;5.5
hoquette;0.03;8;4;1.75;1.4
horloger;0.65;16;12;5;5
horlogers;0.65;18;12;6.2;5
hormis;3.23;6;4;1.95;1.7
horriblement;3.23;12;8;3.6;2.8
horrifiant;1.61;20;12;4.7;3.6
horrifié;1.65;16;12;4.5;3.6
horrifiée;1.65;18;12;4.3;3.6
horrifiées;1.65;20;12;5;3.6
horrifiés;1.65;18;12;4.7;3.6
hosto;5.74;5;4;1.95;1.7
hostos;5.74;6;4;1.95;1.7
hou;8.65;3;1;1;1
housse;0.83;6;2;1.6;1
housses;0.83;7;2;1.6;1
huilé;1.16;10;8;3.6;3.2
huilée;1.16;12;8;3.5;3.2
huilées;1.16;14;8;3.6;3.2
huilés;1.16;12;8;3.5;3.2
huissier;2.84;8;5;2.6;1.7
huissiers;2.84;9;5;2.8;1.7
huitième;2.04;16;12;5.8;4.8
hum;33.59;3;2;1.4;1.6
humecta;0.35;7;6;2.25;2.05
humectant;0.4;18;12;5.1;4
humectée;0.35;8;6;2.4;2.05
humectées;0.35;9;6;2.6;2.05
humecter;0.35;8;6;2.55;2.05
humectés;0.35;8;6;2.45;2.05
humus;0.32;5;4;1.95;1.85
hypocrisie;4.41;10;8;3.5;3.4
hypocrisies;4.41;11;8;3.9;3.4
icône;1.81;5;4;2.3;1.9
icônes;1.81;6;4;2.4;1.9
illusoire;0.95;9;7;3.1;2.7
illusoires;0.95;10;7;3.35;2.7
immémoriale;0.04;11;9;3.45;3.35
immémoriales;0.04;12;9;3.8;3.35
immémoriaux;0.04;11;8;4.1;3.5
immigré;3.05;21;18;7.5;5.4
immigrées;3.05;27;18;8.1;5.4
immobilier;9.61;20;16;4.5;5.3
immobiliers;9.61;22;16;4.9;5.3
immortalité;3.67;11;10;2.6;2.6
impalpable;0.6;10;8;2.7;2.65
imparfait;2.15;18;12;5.2;3.8
imparfaits;2.15;20;12;6;3.8
impersonnel;0.86;11;9;3.45;3.6
impersonnelle;0.86;13;9;3.85;3.6
impersonnelles;0.86;14;9;4;3.6
impersonnels;0.86;12;9;3.75;3.6
imprudence;2.04;10;7;2.55;2.35
imprudences;2.04;11;7;2.75;2.35
imprudent;4.76;18;12;4.8;4.3
imprudente;4.34;10;7;2.2;2.35
imprudentes;4.34;11;7;2.4;2.35
imprudents;4.76;20;12;4.6;4.3
impur;3.91;5;4;1.85;1.7
impure;3.91;6;4;1.8;1.7
impures;3.91;7;4;1.9;1.7
impurs;3.91;6;4;1.8;1.7
inaltérable;0.58;11;10;3.2;3.5
inaltérables;0.58;12;10;3.45;3.5
inaugurait;2.41;10;7;2.5;2.15
inaugurant;2.41;10;7;2.55;2.2
inaugure;2.41;8;6;2.3;2.15
inauguré;2.41;8;7;2.45;2.15
inaugurée;2.41;9;7;2.45;2.15
inaugurer;2.41;9;7;2.45;2.15
inaugurés;2.41;9;7;2.45;2.15
inaugurons;2.41;10;7;2.8;2.25
incandescent;0.6;12;7;3.8;2.7
incandescente;0.6;13;8;3.9;2.8
incandescentes;0.6;14;8;3.95;2.8
incandescents;0.6;13;7;4;2.7
incarnation;1.03;11;9;2.65;2.65
incarnations;1.03;12;9;2.75;2.65
incendia;4.37;8;6;2.45;2.4
incendiait;4.37;10;6;2.7;2.4
incendiant;4.37;10;6;2.65;2.3
incendient;4.37;10;5;2.55;2
incendier;4.37;9;6;2.35;1.85
inclus;8.82;12;8;3.6;3.1
incohérent;0.86;10;6;2.6;2.15
incohérente;0.86;11;7;2.5;2.45
incohérentes;0.86;12;7;2.85;2.45
incohérents;0.86;11;6;2.65;2.15
incolore;0.14;8;6;2.3;1.9
incombaient;1.43;11;5;2.75;1.75
incombait;1.43;9;5;2.7;1.75
incombant;1.43;9;5;2.7;1.85
incombe;1.43;7;4;2.6;1.75
incombent;1.43;9;4;2.55;1.75
incomber;1.43;8;5;2.65;1.8
incompréhension;0.65;15;10;4.1;3.25
incrédulité;0.58;11;10;3.75;3.65
incroyablement;5.55;14;12;3.8;3.8
incurvé;0.15;14;12;4.3;3.7
incurvée;0.15;16;12;4.4;3.7
indécent;2.09;8;5;2.4;1.75
indécente;2.09;9;6;2.3;1.8
indécentes;2.09;10;6;2.35;1.8
indécents;2.09;9;5;2.35;1.75
indéfinissable;0.29;14;11;4.05;3.7
indéfinissables;0.29;15;11;4.2;3.7
indestructible;1.92;14;12;4.25;4.25
indestructibles;1.92;15;12;4.35;4.25
indiscrétion;2.24;12;10;3.85;3.55
indiscrétions;2.24;13;10;4.1;3.55
indiscutable;1.13;12;10;3.55;3.3
indiscutables;1.13;13;10;3.65;3.3
inédit;1.19;12;10;4.4;3.8
inédite;1.1;7;6;2.25;2.45
inédites;1.1;8;6;2.6;2.45
inédits;1.19;14;10;4.9;3.8
ineffable;0.06;9;7;2.85;2.65
ineffables;0.06;10;7;3.15;2.7
inéluctable;1.01;11;10;3.35;3.6
inéluctables;1.01;12;10;3.5;3.6
inespéré;0.35;8;8;2.7;2.95
inespérée;0.35;9;8;2.65;2.95
infatigable;0.46;11;9;3.35;3.45
infatigables;0.46;12;9;3.45;3.45
infidèle;6.16;16;12;6.5;5.5
infidèles;6.16;18;12;6.9;5.5
infirmité;0.93;9;8;2.6;2.8
infirmités;0.93;10;8;2.75;2.8
inflexible;0.61;10;9;3.55;3.6
inflexibles;0.61;11;9;3.65;3.6
inflexion;0.23;9;8;2.95;1.95
inflexions;0.23;10;8;2.85;1.95
influençaient;8.3;13;7;3.6;2
influençait;8.3;11;7;3.35;2
influencé;8.3;9;7;2.35;2.05
influencée;8.3;10;7;2.7;2.05
influencent;8.3;11;6;2.75;1.6
influencer;8.3;10;7;2.35;2.05
influencés;8.3;10;7;2.85;2.05
ingénieuse;3.55;10;7;2.75;2.5
ingénieuses;3.55;11;7;3.35;2.5
ingénieux;3.55;9;6;2.65;2.2
ingurgitait;0.99;11;8;2.7;2.75
ingurgite;0.99;9;7;2.4;2.5
ingurgité;0.99;9;8;2.6;2.65
ingurgitent;0.99;11;7;2.85;2.5
ingurgiter;0.99;10;8;2.8;2.65
inimaginable;3.17;12;11;3.6;4.45
inimaginables;3.17;13;11;3.85;4.45
initiation;1.63;10;9;2.6;2.9
initiations;1.63;11;9;2.75;2.9
inquisiteur;2.28;22;16;7.1;6.1
inquisiteurs;2.28;24;16;7.4;6.1
inquisition;3.15;11;8;3.1;2.75
inquisitions;3.15;12;8;3.05;2.75
insaisissable;1.16;13;9;3.55;2.95
insaisissables;1.16;14;9;3.9;2.95
insistante;0.68;10;7;2.05;1.85
insistantes;0.68;11;7;2.2;1.85
insistants;0.68;10;6;2;1.55
insondable;0.95;10;7;2.55;2.75
insondables;0.95;11;7;2.6;2.75
instable;5.48;16;12;3.8;3.8
instables;5.48;18;12;4.3;3.8
instance;2.12;8;5;2.2;1.8
instances;2.12;9;5;2.3;1.8
instaura;2.63;8;6;2.25;1.75
instaure;2.63;8;5;2.05;1.8
instauré;2.63;8;6;2.35;1.8
instaurée;2.63;9;6;2.35;1.8
instaurées;2.63;10;6;2.55;1.8
instaurer;2.63;9;6;2.35;1.8
instaurés;2.63;9;6;2.4;1.8
institut;5.49;8;6;2.1;1.9
instituts;5.49;9;6;2.3;1.9
insuffisant;3.45;11;7;2.8;2.25
insuffisante;3.45;12;8;2.95;2.7
insuffisantes;3.45;13;8;3.2;2.7
insuffisants;3.45;12;7;3.05;2.25
intégral;1.35;8;7;2.3;2.5
intégrale;1.8;18;14;4.9;5
intégrales;1.8;20;14;5.5;5
intégrité;4.1;9;8;2.65;2.55
intendant;4.55;9;5;2.1;1.7
intendante;4.55;10;6;2.6;2.1
intendants;4.55;10;5;2.65;1.7
interloqué;0.06;20;16;6.5;5.5
interloquée;0.06;22;16;6.4;5.5
interloqués;0.06;22;16;6.4;5.5
interminablement;0.05;16;13;4.6;4.6
interruption;2.88;12;9;3.3;2.7
interruptions;2.88;13;9;3.2;2.7
intestin;4.97;16;12;4.6;3.9
intestins;4.97;18;12;4.8;3.9
intrus;4.99;12;8;3.9;3.7
intruse;4.35;7;5;2.45;2.1
invalide;4.39;24;18;7.65;6.75
invalides;3.8;18;12;5.1;4.5
invariablement;0.64;14;11;3.55;3.45
invective;0.39;18;14;4.7;4.3
invincible;3.6;10;7;3.25;2.7
invincibles;3.6;11;7;3.3;2.7
irlandais;8.12;18;12;5.1;4.7
irlandaise;8.12;20;14;5.2;5.2
irlandaises;8.12;22;14;6;5.2
irradiait;0.65;9;6;2.75;1.85
irradiant;0.76;18;12;5.2;3.5
irradie;0.65;7;5;2.3;1.95
irradié;0.65;7;6;2.4;1.8
irradiée;0.65;8;6;2.4;1.8
irradier;0.65;8;6;2.4;1.8
irrémédiable;0.57;12;10;4.25;3.95
irrémédiables;0.57;13;10;4.4;3.95
irremplaçable;1.23;13;10;4.25;3.7
irremplaçables;1.23;14;10;4.25;3.7
irréparable;1.73;11;9;3.15;2.75
irréparables;1.73;12;9;3.25;2.75
irréprochable;2.38;13;10;4.35;3.7
irréprochables;2.38;14;10;4.45;3.7
irrésistiblement;0.14;16;13;4.95;4.6
irritants;1.27;18;10;4.5;3.1
isba;0.4;4;4;1.95;1.95
jacques;3.12;7;3;1.95;1
jade;0.69;8;6;3.4;2.5
jalonnaient;0.12;11;6;2.45;1.6
jalonnant;0.12;9;6;1.95;1.8
jalonne;0.12;7;5;1.75;1.8
jalonné;0.12;14;12;3.5;3.4
jalonnée;0.12;16;12;3.5;3.4
jalonnent;0.12;9;5;2.05;1.8
jargon;1.91;6;5;1.9;1.85
jargons;1.91;7;5;1.95;1.85
jasmin;1.57;6;5;2.35;1.95
jauge;2.61;10;6;2.9;2.9
jaugeait;1.17;8;4;2.05;1.55
jaugée;1.17;6;4;1.8;1.6
jaugent;1.17;7;3;1.9;1.45
jauger;1.17;6;4;1.75;1.6
jauges;2.61;12;6;3.1;2.9
jaugés;1.17;6;4;1.8;1.6
jésuite;1.54;7;6;2.5;2.5
jésuites;1.54;8;6;2.6;2.5
jeûne;4.43;10;6;3.4;3.1
jeûnes;4.43;12;6;3.6;3.1
jeunot;2.02;12;8;5;3.7
jeunots;2.02;14;8;5.1;3.7
joliment;2.19;8;6;2.65;2.05
jovial;0.61;6;6;2.7;2.65
joviale;0.61;7;6;2.6;2.65
joviaux;0.61;7;5;2.75;2.05
jubila;1.2;6;6;2.1;2.1
jubilais;1.2;8;6;2.4;1.9
jubilait;1.2;8;6;2.15;1.9
jubilant;1.22;16;12;4.3;3.8
jubile;1.2;6;5;1.7;1.75
jubilé;1.54;18;18;6.75;5.55
jubilent;1.2;8;5;2.25;1.75
jubiler;1.2;7;6;1.95;1.85
jubiles;1.2;7;5;1.85;1.75
judiciaire;10.8;10;8;3.45;2.75
judiciaires;10.8;11;8;3.5;2.75
jury;18.8;4;4;1.8;1.25
jurys;18.8;5;4;1.85;1.25
klaxon;5.55;6;6;2.2;1.8
klaxons;5.55;7;6;2.1;1.8
lacéré;1.48;12;12;3.5;3.4
lacérée;1.48;14;12;3.5;3.4
lacérées;1.48;16;12;4.1;3.4
lacérés;1.48;14;12;3.5;3.4
là-dessous;7.12;10;6;3.75;2.55
lainage;0.17;7;5;1.85;1.9
lainages;0.17;8;5;2.05;1.9
laïque;0.58;12;8;3.7;3.7
laïques;0.58;14;8;3.7;3.7
lamentation;1.35;11;9;2.85;2.7
lamentations;1.35;12;9;3.05;2.7
lampée;0.67;12;8;3.4;2.6
lancinant;0.62;18;12;4.5;3.4
lancinante;0.48;10;7;2.6;2.4
lancinantes;0.48;11;7;3.2;2.4
landau;1.01;6;4;1.95;1.7
landaus;1.01;7;4;2.1;1.7
langueur;0.36;8;5;1.95;1.75
languissant;6.9;22;12;4.2;3.5
latéral;2.1;7;7;2.6;2.4
latérale;2.1;8;7;2.55;2.4
latérales;2.1;9;7;2.75;2.4
latéraux;2.1;8;6;2.7;1.95
lavoir;0.15;6;6;1.75;1.8
ledit;0.32;5;4;1.95;1.85
légua;4.98;5;4;1.95;1.45
léguait;4.98;7;4;1.85;1.4
léguant;4.98;7;4;1.9;1.55
lègue;4.98;5;3;1.85;1
légué;4.99;10;8;3.6;2.7
léguée;4.98;6;4;1.8;1.35
léguées;4.98;7;4;1.8;1.35
léguer;4.98;6;4;1.8;1.35
légués;4.98;6;4;1.8;1.35
lépreuse;3.06;16;12;5.3;5.3
lépreuses;3.06;18;12;5.5;5.3
lépreux;3.06;14;10;5.3;3.9
leu;0.92;3;2;1.1;1
leurre;4.03;12;6;3.4;2
leurres;4.03;14;6;3.5;2
levier;3.46;6;5;1.85;1.75
leviers;3.46;7;5;1.9;1.75
liane;0.77;5;4;1.65;1.65
lianes;0.77;6;4;1.8;1.65
libanais;1.37;16;12;5.3;4.9
libanaise;1.37;18;14;5.4;5.6
libanaises;1.37;20;14;6.4;5.6
libertin;2.54;16;14;5.3;5.3
libertine;2.54;18;16;5.1;5.7
libertines;2.54;20;16;5.8;5.7
libertins;2.54;18;14;5.3;5.3
libraire;2.1;8;6;2.5;1.85
libraires;2.1;9;6;2.65;1.85
lignée;4.89;12;8;3.4;2.3
lignées;4.89;14;8;3.4;2.3
ligota;4.49;6;6;1.75;1.7
ligotait;4.49;8;6;1.9;1.7
ligotant;4.49;8;6;1.85;1.75
ligote;4.49;6;5;1.5;1.75
ligotent;4.49;8;5;1.9;1.75
ligoter;4.49;7;6;1.85;1.7
limonade;6.17;8;7;2.75;2.6
limonades;6.17;9;7;2.7;2.6
limousine;6;18;14;6.6;5.8
limousines;6;20;14;7;5.8
lin;2.35;3;2;1;1
lins;2.35;4;2;1.1;1
litière;0.82;7;6;1.8;1.85
litières;0.82;8;6;1.85;1.85
livret;3.26;6;5;1.65;1.2
livrets;3.26;7;5;1.9;1.2
location;5.51;8;7;1.85;1.85
locations;5.51;9;7;1.85;1.85
loquet;0.6;6;4;1.65;1.2
lorgnon;0.02;7;5;2.15;1.75
louis;5.02;10;6;3;2.8
lourdeur;0.2;8;6;2.15;2
lourdeurs;0.2;9;6;2.35;2
lunaire;3.83;14;10;4.5;3.6
lunaires;3.82;8;5;2.6;1.8
lustré;0.89;12;12;3.6;3.5
lustrée;0.89;14;12;3.6;3.5
lustrées;0.89;16;12;4.3;3.5
lustrés;0.89;14;12;3.6;3.5
lyrique;0.95;7;5;2;1.85
